"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 14:32:36 GMT 2022","Mon Nov 07 14:32:48 GMT 2022","12691","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Mon Nov 07 14:32:52 GMT 2022","Mon Nov 07 14:33:05 GMT 2022","12747","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Mon Nov 07 14:32:03 GMT 2022","Mon Nov 07 14:32:16 GMT 2022","13599","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Mon Nov 07 14:31:28 GMT 2022","Mon Nov 07 14:31:34 GMT 2022","5413","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","produceMessage","produce message",""
"passed","Mon Nov 07 14:33:05 GMT 2022","Mon Nov 07 14:33:08 GMT 2022","3055","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Mon Nov 07 14:31:08 GMT 2022","Mon Nov 07 14:31:23 GMT 2022","15101","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","deleteTopic","should delete topic",""
"passed","Mon Nov 07 14:31:55 GMT 2022","Mon Nov 07 14:32:03 GMT 2022","7898","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","createConnector","should create a connector",""
"passed","Mon Nov 07 14:31:23 GMT 2022","Mon Nov 07 14:31:28 GMT 2022","5208","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","createTopic","should create a topic",""
"passed","Mon Nov 07 14:32:48 GMT 2022","Mon Nov 07 14:32:52 GMT 2022","3500","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Mon Nov 07 14:32:26 GMT 2022","Mon Nov 07 14:32:32 GMT 2022","5382","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Mon Nov 07 14:31:37 GMT 2022","Mon Nov 07 14:31:42 GMT 2022","5412","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","clearMessage","clear message",""
"skipped","Mon Nov 07 14:31:23 GMT 2022","Mon Nov 07 14:31:23 GMT 2022","0","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","updateTopic","should update a topic",""
"passed","Mon Nov 07 14:33:08 GMT 2022","Mon Nov 07 14:33:20 GMT 2022","12396","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"passed","Mon Nov 07 14:32:16 GMT 2022","Mon Nov 07 14:32:21 GMT 2022","5166","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","updateConnector","should update a connector",""
"passed","Mon Nov 07 14:30:53 GMT 2022","Mon Nov 07 14:31:08 GMT 2022","15396","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
"passed","Mon Nov 07 14:31:34 GMT 2022","Mon Nov 07 14:31:37 GMT 2022","3247","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
"passed","Mon Nov 07 14:32:32 GMT 2022","Mon Nov 07 14:32:36 GMT 2022","3978","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Mon Nov 07 14:30:22 GMT 2022","Mon Nov 07 14:30:36 GMT 2022","14783","","com.provectus.kafka.ui.SmokeTests","","com.provectus.kafka.ui.SmokeTests","checkBasePageElements","check base page elements",""
