"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 21:26:33 GMT 2023","Fri Apr 28 21:26:37 GMT 2023","4436","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","createTopic","should create a topic",""
"passed","Fri Apr 28 21:25:25 GMT 2023","Fri Apr 28 21:25:28 GMT 2023","3567","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Fri Apr 28 21:26:04 GMT 2023","Fri Apr 28 21:26:18 GMT 2023","14059","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
"passed","Fri Apr 28 21:26:18 GMT 2023","Fri Apr 28 21:26:33 GMT 2023","14350","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","deleteTopic","should delete topic",""
"skipped","Fri Apr 28 21:25:56 GMT 2023","Fri Apr 28 21:25:56 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","clearMessage","clear message",""
"passed","Fri Apr 28 21:27:04 GMT 2023","Fri Apr 28 21:27:12 GMT 2023","7923","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","createConnector","should create a connector",""
"passed","Fri Apr 28 21:25:08 GMT 2023","Fri Apr 28 21:25:12 GMT 2023","3830","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Fri Apr 28 21:26:40 GMT 2023","Fri Apr 28 21:26:42 GMT 2023","2255","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicListElements","Checking Topics section within Kafka-ui Application",""
"passed","Fri Apr 28 21:25:48 GMT 2023","Fri Apr 28 21:25:56 GMT 2023","8108","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","produceMessage","produce message",""
"passed","Fri Apr 28 21:25:12 GMT 2023","Fri Apr 28 21:25:25 GMT 2023","12883","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Fri Apr 28 21:26:37 GMT 2023","Fri Apr 28 21:26:40 GMT 2023","2650","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkCustomParametersWithinCreateNewTopic","Checking requiredness of Custom parameters within 'Create new Topic'",""
"skipped","Fri Apr 28 21:26:33 GMT 2023","Fri Apr 28 21:26:33 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","updateTopic","should update a topic",""
"passed","Fri Apr 28 21:24:53 GMT 2023","Fri Apr 28 21:25:08 GMT 2023","14771","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Fri Apr 28 21:27:26 GMT 2023","Fri Apr 28 21:27:31 GMT 2023","5058","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","updateConnector","should update a connector",""
"passed","Fri Apr 28 21:24:48 GMT 2023","Fri Apr 28 21:24:53 GMT 2023","4886","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Fri Apr 28 21:24:31 GMT 2023","Fri Apr 28 21:24:48 GMT 2023","17358","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaAvro","should create AVRO schema",""
"skipped","Fri Apr 28 21:25:56 GMT 2023","Fri Apr 28 21:25:56 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","copyMessageFromTopicProfile","Message copy from topic profile",""
"passed","Fri Apr 28 21:25:28 GMT 2023","Fri Apr 28 21:25:42 GMT 2023","13422","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"passed","Fri Apr 28 21:26:49 GMT 2023","Fri Apr 28 21:26:52 GMT 2023","3418","","com.provectus.kafka.ui.suite.SmokeTests","","com.provectus.kafka.ui.suite.SmokeTests","checkBasePageElements","check base page elements",""
"passed","Fri Apr 28 21:27:12 GMT 2023","Fri Apr 28 21:27:26 GMT 2023","14440","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Fri Apr 28 21:26:42 GMT 2023","Fri Apr 28 21:26:45 GMT 2023","3211","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
