"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 24 20:30:50 GMT 2023","Tue Jan 24 20:30:54 GMT 2023","3173","","com.provectus.kafka.ui.suite.SmokeTests","","com.provectus.kafka.ui.suite.SmokeTests","checkBasePageElements","check base page elements",""
"passed","Tue Jan 24 20:28:18 GMT 2023","Tue Jan 24 20:28:32 GMT 2023","14185","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Tue Jan 24 20:29:46 GMT 2023","Tue Jan 24 20:29:49 GMT 2023","2634","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkCustomParametersWithinCreateNewTopic","Checking requiredness of Custom parameters within 'Create new Topic'",""
"passed","Tue Jan 24 20:30:27 GMT 2023","Tue Jan 24 20:30:42 GMT 2023","14392","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Tue Jan 24 20:29:27 GMT 2023","Tue Jan 24 20:29:42 GMT 2023","14559","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","deleteTopic","should delete topic",""
"skipped","Tue Jan 24 20:29:42 GMT 2023","Tue Jan 24 20:29:42 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","updateTopic","should update a topic",""
"passed","Tue Jan 24 20:28:36 GMT 2023","Tue Jan 24 20:28:49 GMT 2023","12724","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Tue Jan 24 20:29:49 GMT 2023","Tue Jan 24 20:29:51 GMT 2023","2033","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicListElements","Checking Topics section within Kafka-ui Application",""
"skipped","Tue Jan 24 20:30:07 GMT 2023","Tue Jan 24 20:30:07 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","copyMessageFromTopicProfile","Message copy from topic profile",""
"passed","Tue Jan 24 20:28:13 GMT 2023","Tue Jan 24 20:28:18 GMT 2023","4851","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Tue Jan 24 20:30:00 GMT 2023","Tue Jan 24 20:30:07 GMT 2023","6897","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","produceMessage","produce message",""
"passed","Tue Jan 24 20:28:52 GMT 2023","Tue Jan 24 20:29:05 GMT 2023","12880","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"passed","Tue Jan 24 20:27:57 GMT 2023","Tue Jan 24 20:28:13 GMT 2023","15942","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Tue Jan 24 20:30:42 GMT 2023","Tue Jan 24 20:30:46 GMT 2023","4548","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","updateConnector","should update a connector",""
"passed","Tue Jan 24 20:29:42 GMT 2023","Tue Jan 24 20:29:46 GMT 2023","4253","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","createTopic","should create a topic",""
"passed","Tue Jan 24 20:30:19 GMT 2023","Tue Jan 24 20:30:27 GMT 2023","8387","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","createConnector","should create a connector",""
"passed","Tue Jan 24 20:29:13 GMT 2023","Tue Jan 24 20:29:27 GMT 2023","14116","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
"passed","Tue Jan 24 20:28:49 GMT 2023","Tue Jan 24 20:28:52 GMT 2023","3341","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Tue Jan 24 20:28:32 GMT 2023","Tue Jan 24 20:28:36 GMT 2023","3590","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaJson","should create JSON schema",""
"skipped","Tue Jan 24 20:30:07 GMT 2023","Tue Jan 24 20:30:07 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","clearMessage","clear message",""
"passed","Tue Jan 24 20:29:51 GMT 2023","Tue Jan 24 20:29:54 GMT 2023","3284","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
