"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 21:39:02 GMT 2023","Mon Feb 13 21:39:06 GMT 2023","4033","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","updateConnector","should update a connector",""
"passed","Mon Feb 13 21:38:40 GMT 2023","Mon Feb 13 21:38:48 GMT 2023","7924","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","createConnector","should create a connector",""
"passed","Mon Feb 13 21:37:51 GMT 2023","Mon Feb 13 21:38:06 GMT 2023","14224","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","deleteTopic","should delete topic",""
"passed","Mon Feb 13 21:39:10 GMT 2023","Mon Feb 13 21:39:13 GMT 2023","2994","","com.provectus.kafka.ui.suite.SmokeTests","","com.provectus.kafka.ui.suite.SmokeTests","checkBasePageElements","check base page elements",""
"passed","Mon Feb 13 21:37:13 GMT 2023","Mon Feb 13 21:37:16 GMT 2023","3181","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Mon Feb 13 21:36:43 GMT 2023","Mon Feb 13 21:36:57 GMT 2023","14171","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Mon Feb 13 21:38:22 GMT 2023","Mon Feb 13 21:38:28 GMT 2023","6290","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","produceMessage","produce message",""
"passed","Mon Feb 13 21:38:10 GMT 2023","Mon Feb 13 21:38:12 GMT 2023","2311","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkCustomParametersWithinCreateNewTopic","Checking requiredness of Custom parameters within 'Create new Topic'",""
"passed","Mon Feb 13 21:38:48 GMT 2023","Mon Feb 13 21:39:02 GMT 2023","14062","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","deleteConnector","should delete connector",""
"skipped","Mon Feb 13 21:38:28 GMT 2023","Mon Feb 13 21:38:28 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","copyMessageFromTopicProfile","Message copy from topic profile",""
"passed","Mon Feb 13 21:37:00 GMT 2023","Mon Feb 13 21:37:13 GMT 2023","12500","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Mon Feb 13 21:38:06 GMT 2023","Mon Feb 13 21:38:10 GMT 2023","3950","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","createTopic","should create a topic",""
"passed","Mon Feb 13 21:36:57 GMT 2023","Mon Feb 13 21:37:00 GMT 2023","3519","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Mon Feb 13 21:38:12 GMT 2023","Mon Feb 13 21:38:14 GMT 2023","2006","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicListElements","Checking Topics section within Kafka-ui Application",""
"passed","Mon Feb 13 21:38:14 GMT 2023","Mon Feb 13 21:38:17 GMT 2023","2712","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
"passed","Mon Feb 13 21:36:38 GMT 2023","Mon Feb 13 21:36:43 GMT 2023","4978","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Mon Feb 13 21:37:16 GMT 2023","Mon Feb 13 21:37:29 GMT 2023","13113","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"skipped","Mon Feb 13 21:38:06 GMT 2023","Mon Feb 13 21:38:06 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","updateTopic","should update a topic",""
"passed","Mon Feb 13 21:36:23 GMT 2023","Mon Feb 13 21:36:37 GMT 2023","14429","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaAvro","should create AVRO schema",""
"skipped","Mon Feb 13 21:38:28 GMT 2023","Mon Feb 13 21:38:28 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","clearMessage","clear message",""
"passed","Mon Feb 13 21:37:37 GMT 2023","Mon Feb 13 21:37:51 GMT 2023","13887","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
