"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 21:25:32 GMT 2023","Thu Feb 09 21:25:36 GMT 2023","3811","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Thu Feb 09 21:25:16 GMT 2023","Thu Feb 09 21:25:20 GMT 2023","3879","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Thu Feb 09 21:25:00 GMT 2023","Thu Feb 09 21:25:16 GMT 2023","15334","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Thu Feb 09 21:26:34 GMT 2023","Thu Feb 09 21:26:36 GMT 2023","2395","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicListElements","Checking Topics section within Kafka-ui Application",""
"passed","Thu Feb 09 21:27:13 GMT 2023","Thu Feb 09 21:27:28 GMT 2023","14100","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Thu Feb 09 21:27:28 GMT 2023","Thu Feb 09 21:27:33 GMT 2023","5586","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","updateConnector","should update a connector",""
"passed","Thu Feb 09 21:26:31 GMT 2023","Thu Feb 09 21:26:34 GMT 2023","2650","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkCustomParametersWithinCreateNewTopic","Checking requiredness of Custom parameters within 'Create new Topic'",""
"passed","Thu Feb 09 21:26:45 GMT 2023","Thu Feb 09 21:26:53 GMT 2023","7113","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","produceMessage","produce message",""
"passed","Thu Feb 09 21:27:04 GMT 2023","Thu Feb 09 21:27:13 GMT 2023","9051","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","createConnector","should create a connector",""
"skipped","Thu Feb 09 21:26:27 GMT 2023","Thu Feb 09 21:26:27 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","updateTopic","should update a topic",""
"passed","Thu Feb 09 21:25:20 GMT 2023","Thu Feb 09 21:25:32 GMT 2023","12711","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Thu Feb 09 21:24:38 GMT 2023","Thu Feb 09 21:24:55 GMT 2023","17347","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaAvro","should create AVRO schema",""
"skipped","Thu Feb 09 21:26:53 GMT 2023","Thu Feb 09 21:26:53 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","clearMessage","clear message",""
"passed","Thu Feb 09 21:24:55 GMT 2023","Thu Feb 09 21:25:00 GMT 2023","5230","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Thu Feb 09 21:25:58 GMT 2023","Thu Feb 09 21:26:12 GMT 2023","14098","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
"passed","Thu Feb 09 21:26:36 GMT 2023","Thu Feb 09 21:26:40 GMT 2023","3310","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
"passed","Thu Feb 09 21:26:27 GMT 2023","Thu Feb 09 21:26:31 GMT 2023","4326","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","createTopic","should create a topic",""
"skipped","Thu Feb 09 21:26:53 GMT 2023","Thu Feb 09 21:26:53 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","copyMessageFromTopicProfile","Message copy from topic profile",""
"passed","Thu Feb 09 21:27:37 GMT 2023","Thu Feb 09 21:27:40 GMT 2023","3317","","com.provectus.kafka.ui.suite.SmokeTests","","com.provectus.kafka.ui.suite.SmokeTests","checkBasePageElements","check base page elements",""
"passed","Thu Feb 09 21:26:12 GMT 2023","Thu Feb 09 21:26:27 GMT 2023","15322","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","deleteTopic","should delete topic",""
"passed","Thu Feb 09 21:25:36 GMT 2023","Thu Feb 09 21:25:49 GMT 2023","13113","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
