"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 21:24:48 GMT 2023","Tue Mar 07 21:25:02 GMT 2023","14069","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","deleteTopic","should delete topic",""
"passed","Tue Mar 07 21:25:43 GMT 2023","Tue Mar 07 21:25:56 GMT 2023","12478","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Tue Mar 07 21:25:02 GMT 2023","Tue Mar 07 21:25:06 GMT 2023","4278","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","createTopic","should create a topic",""
"passed","Tue Mar 07 21:23:11 GMT 2023","Tue Mar 07 21:23:24 GMT 2023","13754","","com.provectus.kafka.ui.suite.SmokeTests","","com.provectus.kafka.ui.suite.SmokeTests","checkBasePageElements","check base page elements",""
"passed","Tue Mar 07 21:25:18 GMT 2023","Tue Mar 07 21:25:24 GMT 2023","5440","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Tue Mar 07 21:25:27 GMT 2023","Tue Mar 07 21:25:40 GMT 2023","12544","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
"passed","Tue Mar 07 21:24:19 GMT 2023","Tue Mar 07 21:24:26 GMT 2023","7659","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","produceMessage","produce message",""
"passed","Tue Mar 07 21:24:07 GMT 2023","Tue Mar 07 21:24:12 GMT 2023","4465","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","updateConnector","should update a connector",""
"skipped","Tue Mar 07 21:24:26 GMT 2023","Tue Mar 07 21:24:26 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","clearMessage","clear message",""
"passed","Tue Mar 07 21:23:53 GMT 2023","Tue Mar 07 21:24:07 GMT 2023","14061","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Tue Mar 07 21:25:24 GMT 2023","Tue Mar 07 21:25:27 GMT 2023","3810","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"skipped","Tue Mar 07 21:25:02 GMT 2023","Tue Mar 07 21:25:02 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","updateTopic","should update a topic",""
"skipped","Tue Mar 07 21:24:26 GMT 2023","Tue Mar 07 21:24:26 GMT 2023","0","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","","com.provectus.kafka.ui.suite.topics.TopicMessagesTests","copyMessageFromTopicProfile","Message copy from topic profile",""
"passed","Tue Mar 07 21:25:40 GMT 2023","Tue Mar 07 21:25:43 GMT 2023","3315","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Tue Mar 07 21:25:11 GMT 2023","Tue Mar 07 21:25:14 GMT 2023","3277","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","redirectToConsumerFromTopic","Redirect to consumer from topic profile",""
"passed","Tue Mar 07 21:24:34 GMT 2023","Tue Mar 07 21:24:48 GMT 2023","13851","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicCreatePossibility","Checking Topic creation possibility in case of empty Topic Name",""
"passed","Tue Mar 07 21:25:09 GMT 2023","Tue Mar 07 21:25:11 GMT 2023","1941","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkTopicListElements","Checking Topics section within Kafka-ui Application",""
"passed","Tue Mar 07 21:25:06 GMT 2023","Tue Mar 07 21:25:09 GMT 2023","2494","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","","com.provectus.kafka.ui.suite.topics.TopicActionsTests","checkCustomParametersWithinCreateNewTopic","Checking requiredness of Custom parameters within 'Create new Topic'",""
"passed","Tue Mar 07 21:23:43 GMT 2023","Tue Mar 07 21:23:53 GMT 2023","9834","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","","com.provectus.kafka.ui.suite.connectors.ConnectorsTests","createConnector","should create a connector",""
"passed","Tue Mar 07 21:25:56 GMT 2023","Tue Mar 07 21:25:59 GMT 2023","2942","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"broken","Tue Mar 07 21:25:59 GMT 2023","Tue Mar 07 21:28:59 GMT 2023","180686","","com.provectus.kafka.ui.suite.schemas.SchemasTests","","com.provectus.kafka.ui.suite.schemas.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
